SampleLocationName,Total_C_stock_kg_m2_0to50cm,Total_N_stock_kg_m2_0to50cm,X,Y,c_frac,cstock
TL47 22-01,15.730062546880001,0.997841478296,443320.1748,7206177.654,0.0914,1.99252
TL47 22-03,16.198135133999997,0.7968650853179999,443327.8756,7206682.477,0.2748,12.48966
TL47 ALD Border Pit,30.5649,1.07373400507,442445.144,7207075.373,0.2798,7.1349
TL47 ALD Pit,6.266400000000001,0.6456729273600001,442445.144,7207075.373,0.0103,2.06
TL47 ALD Trench 1,14.6702,0.8631279538400001,442445.144,7207075.373,0.04,1.68
TL47 ALD Trench 2 ,20.6992,0.8412591540800001,442445.144,7207075.373,0.2609,6.2616
TL47 DoubleTree Pit 1,12.527999999999999,0.8140392323000001,442376.25,7206509.194,0.0323,5.168
TL47 FGLB-1,31.644225000000006,1.6227250000000002,442690.453,7206747.269,0.3385,18.6175
TL47 GullyPit 1,15.078374999999998,1.0892993584499997,442478.1254,7206580.355,0.029,2.61
TL47 Midslope Failure,10.377,0.8324360038125,442432.2698,7206860.7,0.1077,6.462
TL47 NPF-1,17.313617155720003,1.621916171028,443032.1486,7206635.717,0.1623,8.9265
TL47 NPF-10,16.458125,1.0038625,442764.7193,7206602.935,0.1078,11.858
TL47 NPF-6,11.204907782500001,0.71138586545,442558.0278,7206537.794,0.0619,5.78765
TL47 NPF-8,19.7971875,0.8069999999999999,442286.9891,7206509.583,0.0223,1.83975
TL47-22-02,24.098209876199995,1.36986066132,443327.4946,7206662.419,0.3291,15.00696
TL47-22-04,74.68279999999999,1.87902,442836.9109,7206335.131,0.3236,33.978
TL47-22-05,15.9337856248295,1.0714102874926,442931.557,7206297.648,0.0964,3.972885
TL47_Slice1,22.89526317,1.5041000000000002,442490.672,7206851.66,0.088058705,36.63242107
TL47_Slice2,12.979693042211998,0.9907680000000001,442465.5127,7206797.748,0.073729351,11.05940261
TL47_Slice3,21.335322522731246,1.6606375938679996,442442.8978,7206738.769,0.081567467,18.84632577
TL47_Slice5,35.58534432321642,1.9236193395799999,442507.4654,7206660.05,0.138605471,32.02507012
TL47_Slice7,11.435909021635773,0.5044635167400001,442671.6503,7206658.006,0.029696976,13.72309083
TL47_Slice8,10.065238028168,0.409226,442744.5118,7206647.02,0.020332973,5.916895108
