SampleLocationName,Total_C_stock_kg_m2_0to60cm,Total_N_stock_kg_m2_0to60cm,X,Y,c_frac,cstock
TL47 22-01,19.866538098292,1.2935194889654,443320.1748,7206177.654,0.0914,1.99252
TL47 22-03,27.377749994198997,1.4945596383684,443327.8756,7206682.477,0.2748,12.48966
TL47 ALD Border Pit,33.691900000000004,1.2808378120700001,442445.144,7207075.373,0.2798,7.1349
TL47 ALD Pit,7.656800000000001,0.8201380947200001,442445.144,7207075.373,0.0103,2.06
TL47 ALD Trench 1,14.6702,0.8631279538400001,442445.144,7207075.373,0.04,1.68
TL47 ALD Trench 2 ,21.974200000000003,0.98980355438,442445.144,7207075.373,0.2609,6.2616
TL47 DoubleTree Pit 1,15.856,1.0559412147000002,442376.25,7206509.194,0.0323,5.168
TL47 FGLB-1,34.24335000000001,1.827175,442690.453,7206747.269,0.3385,18.6175
TL47 GullyPit 1,16.372499999999995,1.2165214246499998,442478.1254,7206580.355,0.029,2.61
TL47 Midslope Failure,11.682,0.93773969775,442432.2698,7206860.7,0.1077,6.462
TL47 NPF-1,22.250297155720002,1.9758421710279999,443032.1486,7206635.717,0.1623,8.9265
TL47 NPF-10,17.987216,1.1531168,442764.7193,7206602.935,0.1078,11.858
TL47 NPF-6,13.401657782500001,0.88756086545,442558.0278,7206537.794,0.0619,5.78765
TL47 NPF-8,21.9205975,1.102885,442286.9891,7206509.583,0.0223,1.83975
TL47-22-02,32.777977272365995,1.9608896554312,443327.4946,7206662.419,0.3291,15.00696
TL47-22-04,95.03519999999999,2.81853,442836.9109,7206335.131,0.3236,33.978
TL47-22-05,21.2079134205095,1.5022545299566,442931.557,7206297.648,0.0964,3.972885
TL47_Slice1,27.474315804,1.80492,442490.672,7206851.66,0.088058705,36.63242107
TL47_Slice2,12.979693042211998,0.9907680000000001,442465.5127,7206797.748,0.073729351,11.05940261
TL47_Slice3,21.335322522731246,1.6606375938679996,442442.8978,7206738.769,0.081567467,18.84632577
TL47_Slice5,37.36548142654242,1.9669973395799998,442507.4654,7206660.05,0.138605471,32.02507012
TL47_Slice7,13.723090825962927,0.605356220088,442671.6503,7206658.006,0.029696976,13.72309083
TL47_Slice8,12.139409488212001,0.484344,442744.5118,7206647.02,0.020332973,5.916895108
