,SampleLocationName,Total_C_stock_kg_m2_0to100cm,Total_N_stock_kg_m2_0to100cm,X,Y,c_frac,cstock,slope,curv
0,TL47 22-01,31.1415864365395,1.98619361617165,443320.1748,7206177.654,0.0914,1.99252,3.5172834,-0.012437358705533875
1,TL47 22-03,47.759097807315,2.804601606148,443327.8756,7206682.477,0.2748,12.48966,14.084187,-0.005225671688094735
2,TL47 ALD Border Pit,43.2149,2.03628514467,442445.144,7207075.373,0.2798,7.1349,16.678833,-0.007254602659183244
6,TL47 ALD Pit,8.920800000000002,1.21091915344,442445.144,7207075.373,0.0103,2.06,16.678833,-0.007254602659183244
10,TL47 ALD Trench 1,16.6628,1.0305398221400002,442445.144,7207075.373,0.04,1.68,16.678833,-0.007254602659183244
14,TL47 ALD Trench 2 ,28.346200000000003,1.63883617058,442445.144,7207075.373,0.2609,6.2616,16.678833,-0.007254602659183244
18,TL47 DoubleTree Pit 1,28.094,1.9591375925,442376.25,7206509.194,0.0323,5.168,19.18076,0.001856462952370445
19,TL47 FGLB-1,36.39825,1.989119,442690.453,7206747.269,0.3385,18.6175,13.606318,0.011227397610329919
20,TL47 GullyPit 1,20.095784999999996,1.5990808868879998,442478.1254,7206580.355,0.029,2.61,19.097397,-0.04390859640099936
21,TL47 Midslope Failure,18.02475,1.41800456265,442432.2698,7206860.7,0.1077,6.462,21.41047,0.006448914891936713
22,TL47 NPF-1,33.11099315572,2.754479371028,443032.1486,7206635.717,0.1623,8.9265,10.293542,-0.018759112908608384
23,TL47 NPF-10,22.571275999999997,1.6076048000000005,442764.7193,7206602.935,0.1078,11.858,14.088451,-0.01012065437518888
24,TL47 NPF-6,22.2590077825,1.55348586545,442558.0278,7206537.794,0.0619,5.78765,15.962287,-0.009256308122227589
25,TL47 NPF-8,34.6534325,2.1140741666666667,442286.9891,7206509.583,0.0223,1.83975,20.05566,-0.01184203051444557
26,TL47-22-02,46.129693502166,2.8707217951412005,443327.4946,7206662.419,0.3291,15.00696,12.378098,-0.010153972210698865
27,TL47-22-04,111.185707275224,4.1381340714752,442836.9109,7206335.131,0.3236,33.978,11.577343,0.009387431187658675
28,TL47-22-05,51.9836750166245,3.4847961067349,442931.557,7206297.648,0.0964,3.972885,8.663725,0.00039117787188539904
29,TL47_Slice1,36.632421072,2.4065600000000003,442490.672,7206851.66,0.088058705,36.63242107,19.837536,-0.03076239421756731
30,TL47_Slice2,12.979693042211998,0.990768,442465.5127,7206797.748,0.073729351,11.05940261,17.521431,0.0069240794206659
31,TL47_Slice3,21.335322522731246,1.6606375938679996,442442.8978,7206738.769,0.081567467,18.84632577,18.394537,-0.009350050758156512
32,TL47_Slice5,37.36548142654242,1.96699733958,442507.4654,7206660.05,0.138605471,32.02507012,17.124397,0.009019929708706008
33,TL47_Slice7,13.723090825962927,0.605356220088,442671.6503,7206658.006,0.029696976,13.72309083,16.13796,0.021843861943731707
34,TL47_Slice8,12.139409488212,0.484344,442744.5118,7206647.02,0.020332973,5.916895108,12.553925,0.002421807859920793
